Sequence_id	Database_id	Percentage_identity	E-value	Classification
16|DICE_READ_00267200	8229	96.62	1e-127	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Alcanivorax; Unclassified; otu_3272
17|DICE_READ_00262469	101111	94.81	6e-117	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
18|DICE_READ_00263440	154145	95.3	5e-105	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
19|DICE_READ_00255118	139292	96.31	7e-129	Bacteria; Bacteroidetes; Flavobacteria; Flavobacteriales; Flavobacteriaceae; Muricauda; Unclassified; otu_852
20|DICE_READ_00260841	8407	96.56	7e-126	Bacteria; Proteobacteria; Unclassified; otu_2091
21|DICE_READ_00242044	101111	95.32	5e-105	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
22|DICE_READ_00251749	7677	95.56	2e-113	Bacteria; Unclassified; otu_205
23|DICE_READ_00239330	92037	96.71	6e-117	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
24|DICE_READ_00266921	101111	96.44	7e-107	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
25|DICE_READ_00257336	8100	95.28	7e-104	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
26|DICE_READ_00256502	104638	97.8	3e-140	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
27|DICE_READ_00246605	8100	95.88	1e-111	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
28|DICE_READ_00243794	101111	96.46	2e-107	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
29|DICE_READ_00235923	20333	94.2	6e-117	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Unclassified; otu_2980
30|DICE_READ_00257533	164271	94.3	1e-111	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
31|DICE_READ_00238066	232669	94.44	2e-116	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Legionellaceae; Unclassified; otu_3237
32|DICE_READ_00250368	154145	92.97	8e-101	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Neptunomonas; Unclassified; otu_3306
33|DICE_READ_00252684	169976	97.95	1e-124	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
34|DICE_READ_00259649	87543	93.57	7e-101	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
35|DICE_READ_00258008	8100	95.53	5e-111	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
36|DICE_READ_00262056	68830	98.41	2e-132	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
37|DICE_READ_00260722	91272	95.6	2e-113	Bacteria; Proteobacteria; Gammaproteobacteria; Nitrincola; otu_3267
38|DICE_READ_00257819	108087	94.47	6e-92	Bacteria; Unclassified; otu_205
39|DICE_READ_00235012	143093	94.61	7e-104	Bacteria; Proteobacteria; Gammaproteobacteria; Unclassified; otu_2975
40|DICE_READ_00253277	118817	96.6	3e-128	Bacteria; Unclassified; otu_205
41|DICE_READ_00265199	95512	95.56	9e-113	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Microbulbifer; Unclassified; otu_3018
42|DICE_READ_00244529	92037	96.54	1e-111	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
43|DICE_READ_00249880	155199	92.83	2e-98	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
44|DICE_READ_00248825	55371	96.45	5e-136	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
45|DICE_READ_00252765	87543	92.91	5e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
46|DICE_READ_00255236	87543	92.91	5e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
47|DICE_READ_00261563	87543	92.97	1e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
48|DICE_READ_00259321	78569	94.38	9e-107	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter; Unclassified; otu_3013
49|DICE_READ_00260041	68830	98.02	4e-130	Bacteria; Cyanobacteria; Oscillatoriales; Arthrospira; otu_1245
50|DICE_READ_00252909	111879	98.08	8e-135	Bacteria; Unclassified; otu_205
51|DICE_READ_00262017	87543	92.13	1e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
52|DICE_READ_00242580	155199	92.77	3e-97	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillum; Unclassified; otu_3311
53|DICE_READ_00243346	169976	98.3	1e-121	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
54|DICE_READ_00246363	143237	95.02	4e-115	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
55|DICE_READ_00247803	8562	93.46	5e-105	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
56|DICE_READ_00247866	8562	93.46	5e-105	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Unclassified; otu_3370
57|DICE_READ_00240502	101111	96.31	4e-102	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
58|DICE_READ_00235070	136522	98.13	9e-110	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter; Unclassified; otu_436
59|DICE_READ_00240685	136522	98.13	9e-110	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter; Unclassified; otu_436
60|DICE_READ_00255038	169976	98.29	9e-122	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
61|DICE_READ_00243294	141395	90.82	5e-68	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia; Unclassified; otu_2175
62|DICE_READ_00249527	7719	93.28	1e-99	Bacteria; Proteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae; Methylophaga; Unclassified; otu_3407
63|DICE_READ_00248881	169976	97.52	2e-120	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Unclassified; otu_3443
64|DICE_READ_00250384	149607	92.97	5e-99	Bacteria; Unclassified; otu_205
65|DICE_READ_00250852	143237	94.62	4e-112	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
66|DICE_READ_00261072	143237	93.94	3e-109	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Hydrogenophaga; Unclassified; otu_2610
67|DICE_READ_00241822	5645	98.8	1e-133	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
68|DICE_READ_00253333	97840	96.85	2e-123	Bacteria; Cyanobacteria; Chroococcales; Cyanobium; Unclassified; otu_1189
69|DICE_READ_00241779	97840	96.46	2e-120	Bacteria; Cyanobacteria; Chroococcales; Cyanobium; Unclassified; otu_1189
